Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
,,,,,,,,
감정이 한개인 경우,1. 화남(A),화 삭히지 말고 수 틀리면 다 끝내버려 ㅋㅋ,,,,,,
,2. 슬픔(G),내가 더 슬픈 얘기 해줄게 https://m.cafe.daum.net/bbadaking/HndT/2260?listURI=%2Fbbadaking%2FHndT,,,,,,
,3.기쁨(H),축하한다 좋으니깐 내일도 글 써줘 ~(하트),,,,,,
,4.놀람(S),https://blog.naver.com/79yig-69/223481047472 …. (자세히 보기)……………….. 나도 너 글 보고 많이 놀랐어,,,,,,
,5.두려움(F),"“용기란 두려움이 없는 것이 아니라, 두려움을 이겨내는 것이다.”? 넬슨 만델라",,,,,,
,6.혐오(D),안 보면 그만이야~.,,,,,,
,7.중립(N),무난하다.,,,,,,
,,,,,,,,
,,,,,,,,
감정이 두개인 경우,,1. 화남(A),2. 슬픔(G),3.기쁨(H),4.놀람(S),5.두려움(F),6.혐오(D),7.중립(N)
,1. 화남(A),,,,,,,
,2. 슬픔(G),"눈물을 흘리며 씨를 뿌리는 자는 
기쁨으로 거두리로다 - 로마서 00:00",,,,,,
,3.기쁨(H),"좋은 일인데 왜 이렇게 화가 나 있지..? 
아무튼 축하한다!! 좋으니까 내일도 
글 써줘~ 안 쓰면 찾아간다(하트)",슬쁨 ㅠㅠ,,,,,
,4.놀람(S),"진짜 어이가 없네,, 내용 좀 더 써봐 ","시간이 해결해
 주겠지...","ㅁㅊ. 이런건 남들한테 숨겨라. 
세상엔 믿을 건 가족밖에 없다.",,,,
,5.두려움(F),"이 놈 이거 무서운 놈이네. 
조심해라 너는","안 그래도 슬픈데 
무섭기까지 하네...","잘됐다 근데 떨어지는 
낙엽도 조심해",내 무습다 ...,,,
,6.혐오(D),샤따 내려라. 괜찮다 이거는,"세번 참으면
 호구다","너무 맛있어서 봤더니 
귀뚜라미 먹은 그런 느낌이겠네.. ",불쾌하다.,"어려운 길은 
길이 아니래",,
,7.중립(N),가는 말이 고우면 얕본다 . (ㅅㅂ),"하루가 참 무난하긴 한데...
 왜 이렇게 마음 한구석이 
쓸쓸하죠? 연애하세요.","평온하게 좋은게 최고야 
지금이 딱이구나?","이야 이거 좀 놀라운데 
막막막 그정돈 아니네 ㅋㅋ","늦었다고 생각할 
때는 늦은거야 ~
안해도 돼!!!","세상은 넓고 할 
일은 많지 않다",
